w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.12j)	 (3.61981e-05+0j)	 (3.61981e-05+0j)	 (0+0j)	 (0+0j)
 (-29.97+0.12j)	 (3.62667e-05+0j)	 (3.62667e-05+0j)	 (1.088e-06+0j)	 (1.088e-06+0j)
 (-29.94+0.12j)	 (3.63355e-05+0j)	 (3.63355e-05+0j)	 (2.17806e-06+0j)	 (2.17806e-06+0j)
 (-29.91+0.12j)	 (3.64044e-05+0j)	 (3.64044e-05+0j)	 (3.2702e-06+0j)	 (3.2702e-06+0j)
 (-29.88+0.12j)	 (3.64736e-05+0j)	 (3.64736e-05+0j)	 (4.36441e-06+0j)	 (4.36441e-06+0j)
 (-29.85+0.12j)	 (3.6543e-05+0j)	 (3.6543e-05+0j)	 (5.4607e-06+0j)	 (5.4607e-06+0j)
 (-29.82+0.12j)	 (3.66126e-05+0j)	 (3.66126e-05+0j)	 (6.55907e-06+0j)	 (6.55907e-06+0j)
 (-29.79+0.12j)	 (3.66824e-05+0j)	 (3.66824e-05+0j)	 (7.65955e-06+0j)	 (7.65955e-06+0j)
 (-29.76+0.12j)	 (3.67524e-05+0j)	 (3.67524e-05+0j)	 (8.76212e-06+0j)	 (8.76212e-06+0j)
 (-29.73+0.12j)	 (3.68225e-05+0j)	 (3.68225e-05+0j)	 (9.86679e-06+0j)	 (9.86679e-06+0j)
 (-29.7+0.12j)	 (3.68929e-05+0j)	 (3.68929e-05+0j)	 (1.09736e-05+0j)	 (1.09736e-05+0j)
 (-29.67+0.12j)	 (3.69635e-05+0j)	 (3.69635e-05+0j)	 (1.20825e-05+0j)	 (1.20825e-05+0j)
 (-29.64+0.12j)	 (3.70343e-05+0j)	 (3.70343e-05+0j)	 (1.31935e-05+0j)	 (1.31935e-05+0j)
 (-29.61+0.12j)	 (3.71054e-05+0j)	 (3.71054e-05+0j)	 (1.43067e-05+0j)	 (1.43067e-05+0j)
 (-29.58+0.12j)	 (3.71766e-05+0j)	 (3.71766e-05+0j)	 (1.5422e-05+0j)	 (1.5422e-05+0j)
 (-29.55+0.12j)	 (3.7248e-05+0j)	 (3.7248e-05+0j)	 (1.65394e-05+0j)	 (1.65394e-05+0j)
 (-29.52+0.12j)	 (3.73196e-05+0j)	 (3.73196e-05+0j)	 (1.7659e-05+0j)	 (1.7659e-05+0j)
