w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.49236e-05+0j)	 (3.49236e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.4982e-05+0j)	 (3.4982e-05+0j)	 (8.74549e-07+0j)	 (8.74549e-07+0j)
 (-29.95+0.1j)	 (3.50405e-05+0j)	 (3.50405e-05+0j)	 (1.75056e-06+0j)	 (1.75056e-06+0j)
 (-29.925+0.1j)	 (3.50991e-05+0j)	 (3.50991e-05+0j)	 (2.62804e-06+0j)	 (2.62804e-06+0j)
 (-29.9+0.1j)	 (3.51578e-05+0j)	 (3.51578e-05+0j)	 (3.50698e-06+0j)	 (3.50698e-06+0j)
 (-29.875+0.1j)	 (3.52168e-05+0j)	 (3.52168e-05+0j)	 (4.3874e-06+0j)	 (4.3874e-06+0j)
 (-29.85+0.1j)	 (3.52758e-05+0j)	 (3.52758e-05+0j)	 (5.2693e-06+0j)	 (5.2693e-06+0j)
 (-29.825+0.1j)	 (3.53351e-05+0j)	 (3.53351e-05+0j)	 (6.15268e-06+0j)	 (6.15268e-06+0j)
 (-29.8+0.1j)	 (3.53944e-05+0j)	 (3.53944e-05+0j)	 (7.03754e-06+0j)	 (7.03754e-06+0j)
 (-29.775+0.1j)	 (3.5454e-05+0j)	 (3.5454e-05+0j)	 (7.92389e-06+0j)	 (7.92389e-06+0j)
 (-29.75+0.1j)	 (3.55136e-05+0j)	 (3.55136e-05+0j)	 (8.81173e-06+0j)	 (8.81173e-06+0j)
 (-29.725+0.1j)	 (3.55734e-05+0j)	 (3.55734e-05+0j)	 (9.70106e-06+0j)	 (9.70106e-06+0j)
 (-29.7+0.1j)	 (3.56334e-05+0j)	 (3.56334e-05+0j)	 (1.05919e-05+0j)	 (1.05919e-05+0j)
 (-29.675+0.1j)	 (3.56935e-05+0j)	 (3.56935e-05+0j)	 (1.14842e-05+0j)	 (1.14842e-05+0j)
 (-29.65+0.1j)	 (3.57538e-05+0j)	 (3.57538e-05+0j)	 (1.23781e-05+0j)	 (1.23781e-05+0j)
 (-29.625+0.1j)	 (3.58143e-05+0j)	 (3.58143e-05+0j)	 (1.32734e-05+0j)	 (1.32734e-05+0j)
 (-29.6+0.1j)	 (3.58749e-05+0j)	 (3.58749e-05+0j)	 (1.41703e-05+0j)	 (1.41703e-05+0j)
 (-29.575+0.1j)	 (3.59356e-05+0j)	 (3.59356e-05+0j)	 (1.50687e-05+0j)	 (1.50687e-05+0j)
 (-29.55+0.1j)	 (3.59965e-05+0j)	 (3.59965e-05+0j)	 (1.59686e-05+0j)	 (1.59686e-05+0j)
 (-29.525+0.1j)	 (3.60575e-05+0j)	 (3.60575e-05+0j)	 (1.68701e-05+0j)	 (1.68701e-05+0j)
 (-29.5+0.1j)	 (3.61188e-05+0j)	 (3.61188e-05+0j)	 (1.7773e-05+0j)	 (1.7773e-05+0j)
 (-29.475+0.1j)	 (3.61801e-05+0j)	 (3.61801e-05+0j)	 (1.86775e-05+0j)	 (1.86775e-05+0j)
 (-29.45+0.1j)	 (3.62416e-05+0j)	 (3.62416e-05+0j)	 (1.95836e-05+0j)	 (1.95836e-05+0j)
 (-29.425+0.1j)	 (3.63033e-05+0j)	 (3.63033e-05+0j)	 (2.04911e-05+0j)	 (2.04911e-05+0j)
 (-29.4+0.1j)	 (3.63652e-05+0j)	 (3.63652e-05+0j)	 (2.14003e-05+0j)	 (2.14003e-05+0j)
 (-29.375+0.1j)	 (3.64272e-05+0j)	 (3.64272e-05+0j)	 (2.2311e-05+0j)	 (2.2311e-05+0j)
 (-29.35+0.1j)	 (3.64893e-05+0j)	 (3.64893e-05+0j)	 (2.32232e-05+0j)	 (2.32232e-05+0j)
 (-29.325+0.1j)	 (3.65516e-05+0j)	 (3.65516e-05+0j)	 (2.4137e-05+0j)	 (2.4137e-05+0j)
 (-29.3+0.1j)	 (3.66141e-05+0j)	 (3.66141e-05+0j)	 (2.50523e-05+0j)	 (2.50523e-05+0j)
 (-29.275+0.1j)	 (3.66768e-05+0j)	 (3.66768e-05+0j)	 (2.59693e-05+0j)	 (2.59693e-05+0j)
 (-29.25+0.1j)	 (3.67396e-05+0j)	 (3.67396e-05+0j)	 (2.68877e-05+0j)	 (2.68877e-05+0j)
 (-29.225+0.1j)	 (3.68025e-05+0j)	 (3.68025e-05+0j)	 (2.78078e-05+0j)	 (2.78078e-05+0j)
 (-29.2+0.1j)	 (3.68656e-05+0j)	 (3.68656e-05+0j)	 (2.87294e-05+0j)	 (2.87294e-05+0j)
 (-29.175+0.1j)	 (3.69289e-05+0j)	 (3.69289e-05+0j)	 (2.96527e-05+0j)	 (2.96527e-05+0j)
 (-29.15+0.1j)	 (3.69924e-05+0j)	 (3.69924e-05+0j)	 (3.05775e-05+0j)	 (3.05775e-05+0j)
 (-29.125+0.1j)	 (3.7056e-05+0j)	 (3.7056e-05+0j)	 (3.15039e-05+0j)	 (3.15039e-05+0j)
 (-29.1+0.1j)	 (3.71198e-05+0j)	 (3.71198e-05+0j)	 (3.24319e-05+0j)	 (3.24319e-05+0j)
 (-29.075+0.1j)	 (3.71837e-05+0j)	 (3.71837e-05+0j)	 (3.33615e-05+0j)	 (3.33615e-05+0j)
 (-29.05+0.1j)	 (3.72479e-05+0j)	 (3.72479e-05+0j)	 (3.42927e-05+0j)	 (3.42927e-05+0j)
 (-29.025+0.1j)	 (3.73121e-05+0j)	 (3.73121e-05+0j)	 (3.52255e-05+0j)	 (3.52255e-05+0j)
 (-29+0.1j)	 (3.73766e-05+0j)	 (3.73766e-05+0j)	 (3.61599e-05+0j)	 (3.61599e-05+0j)
 (-28.975+0.1j)	 (3.74412e-05+0j)	 (3.74412e-05+0j)	 (3.70959e-05+0j)	 (3.70959e-05+0j)
 (-28.95+0.1j)	 (3.7506e-05+0j)	 (3.7506e-05+0j)	 (3.80336e-05+0j)	 (3.80336e-05+0j)
 (-28.925+0.1j)	 (3.75709e-05+0j)	 (3.75709e-05+0j)	 (3.89728e-05+0j)	 (3.89728e-05+0j)
 (-28.9+0.1j)	 (3.76361e-05+0j)	 (3.76361e-05+0j)	 (3.99137e-05+0j)	 (3.99137e-05+0j)
