w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.5886e-05+0j)	 (3.5886e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.59467e-05+0j)	 (3.59467e-05+0j)	 (8.98668e-07+0j)	 (8.98668e-07+0j)
 (-29.95+0.1j)	 (3.60076e-05+0j)	 (3.60076e-05+0j)	 (1.79886e-06+0j)	 (1.79886e-06+0j)
 (-29.925+0.1j)	 (3.60687e-05+0j)	 (3.60687e-05+0j)	 (2.70058e-06+0j)	 (2.70058e-06+0j)
 (-29.9+0.1j)	 (3.61299e-05+0j)	 (3.61299e-05+0j)	 (3.60382e-06+0j)	 (3.60382e-06+0j)
 (-29.875+0.1j)	 (3.61913e-05+0j)	 (3.61913e-05+0j)	 (4.50861e-06+0j)	 (4.50861e-06+0j)
 (-29.85+0.1j)	 (3.62528e-05+0j)	 (3.62528e-05+0j)	 (5.41493e-06+0j)	 (5.41493e-06+0j)
 (-29.825+0.1j)	 (3.63145e-05+0j)	 (3.63145e-05+0j)	 (6.32279e-06+0j)	 (6.32279e-06+0j)
 (-29.8+0.1j)	 (3.63763e-05+0j)	 (3.63763e-05+0j)	 (7.2322e-06+0j)	 (7.2322e-06+0j)
 (-29.775+0.1j)	 (3.64383e-05+0j)	 (3.64383e-05+0j)	 (8.14315e-06+0j)	 (8.14315e-06+0j)
 (-29.75+0.1j)	 (3.65005e-05+0j)	 (3.65005e-05+0j)	 (9.05567e-06+0j)	 (9.05567e-06+0j)
 (-29.725+0.1j)	 (3.65628e-05+0j)	 (3.65628e-05+0j)	 (9.96974e-06+0j)	 (9.96974e-06+0j)
 (-29.7+0.1j)	 (3.66253e-05+0j)	 (3.66253e-05+0j)	 (1.08854e-05+0j)	 (1.08854e-05+0j)
 (-29.675+0.1j)	 (3.66879e-05+0j)	 (3.66879e-05+0j)	 (1.18026e-05+0j)	 (1.18026e-05+0j)
 (-29.65+0.1j)	 (3.67507e-05+0j)	 (3.67507e-05+0j)	 (1.27213e-05+0j)	 (1.27213e-05+0j)
 (-29.625+0.1j)	 (3.68137e-05+0j)	 (3.68137e-05+0j)	 (1.36417e-05+0j)	 (1.36417e-05+0j)
 (-29.6+0.1j)	 (3.68768e-05+0j)	 (3.68768e-05+0j)	 (1.45636e-05+0j)	 (1.45636e-05+0j)
 (-29.575+0.1j)	 (3.69401e-05+0j)	 (3.69401e-05+0j)	 (1.54871e-05+0j)	 (1.54871e-05+0j)
 (-29.55+0.1j)	 (3.70036e-05+0j)	 (3.70036e-05+0j)	 (1.64122e-05+0j)	 (1.64122e-05+0j)
 (-29.525+0.1j)	 (3.70672e-05+0j)	 (3.70672e-05+0j)	 (1.73389e-05+0j)	 (1.73389e-05+0j)
 (-29.5+0.1j)	 (3.7131e-05+0j)	 (3.7131e-05+0j)	 (1.82671e-05+0j)	 (1.82671e-05+0j)
 (-29.475+0.1j)	 (3.71949e-05+0j)	 (3.71949e-05+0j)	 (1.9197e-05+0j)	 (1.9197e-05+0j)
 (-29.45+0.1j)	 (3.72591e-05+0j)	 (3.72591e-05+0j)	 (2.01285e-05+0j)	 (2.01285e-05+0j)
 (-29.425+0.1j)	 (3.73233e-05+0j)	 (3.73233e-05+0j)	 (2.10616e-05+0j)	 (2.10616e-05+0j)
