w	up_1	down_1	cumul_up_1	cumul_down_1	
 (-30+0.1j)	 (3.47322e-05+0j)	 (3.47322e-05+0j)	 (0+0j)	 (0+0j)
 (-29.975+0.1j)	 (3.479e-05+0j)	 (3.479e-05+0j)	 (8.69751e-07+0j)	 (8.69751e-07+0j)
 (-29.95+0.1j)	 (3.4848e-05+0j)	 (3.4848e-05+0j)	 (1.74095e-06+0j)	 (1.74095e-06+0j)
 (-29.925+0.1j)	 (3.49062e-05+0j)	 (3.49062e-05+0j)	 (2.61361e-06+0j)	 (2.61361e-06+0j)
 (-29.9+0.1j)	 (3.49645e-05+0j)	 (3.49645e-05+0j)	 (3.48772e-06+0j)	 (3.48772e-06+0j)
 (-29.875+0.1j)	 (3.50229e-05+0j)	 (3.50229e-05+0j)	 (4.36329e-06+0j)	 (4.36329e-06+0j)
 (-29.85+0.1j)	 (3.50815e-05+0j)	 (3.50815e-05+0j)	 (5.24033e-06+0j)	 (5.24033e-06+0j)
 (-29.825+0.1j)	 (3.51402e-05+0j)	 (3.51402e-05+0j)	 (6.11883e-06+0j)	 (6.11883e-06+0j)
 (-29.8+0.1j)	 (3.51991e-05+0j)	 (3.51991e-05+0j)	 (6.99881e-06+0j)	 (6.99881e-06+0j)
 (-29.775+0.1j)	 (3.52581e-05+0j)	 (3.52581e-05+0j)	 (7.88026e-06+0j)	 (7.88026e-06+0j)
 (-29.75+0.1j)	 (3.53173e-05+0j)	 (3.53173e-05+0j)	 (8.76319e-06+0j)	 (8.76319e-06+0j)
 (-29.725+0.1j)	 (3.53766e-05+0j)	 (3.53766e-05+0j)	 (9.64761e-06+0j)	 (9.64761e-06+0j)
 (-29.7+0.1j)	 (3.54361e-05+0j)	 (3.54361e-05+0j)	 (1.05335e-05+0j)	 (1.05335e-05+0j)
 (-29.675+0.1j)	 (3.54957e-05+0j)	 (3.54957e-05+0j)	 (1.14209e-05+0j)	 (1.14209e-05+0j)
 (-29.65+0.1j)	 (3.55555e-05+0j)	 (3.55555e-05+0j)	 (1.23098e-05+0j)	 (1.23098e-05+0j)
 (-29.625+0.1j)	 (3.56154e-05+0j)	 (3.56154e-05+0j)	 (1.32002e-05+0j)	 (1.32002e-05+0j)
 (-29.6+0.1j)	 (3.56755e-05+0j)	 (3.56755e-05+0j)	 (1.40921e-05+0j)	 (1.40921e-05+0j)
 (-29.575+0.1j)	 (3.57358e-05+0j)	 (3.57358e-05+0j)	 (1.49855e-05+0j)	 (1.49855e-05+0j)
 (-29.55+0.1j)	 (3.57962e-05+0j)	 (3.57962e-05+0j)	 (1.58804e-05+0j)	 (1.58804e-05+0j)
 (-29.525+0.1j)	 (3.58567e-05+0j)	 (3.58567e-05+0j)	 (1.67768e-05+0j)	 (1.67768e-05+0j)
 (-29.5+0.1j)	 (3.59174e-05+0j)	 (3.59174e-05+0j)	 (1.76747e-05+0j)	 (1.76747e-05+0j)
 (-29.475+0.1j)	 (3.59782e-05+0j)	 (3.59782e-05+0j)	 (1.85742e-05+0j)	 (1.85742e-05+0j)
 (-29.45+0.1j)	 (3.60393e-05+0j)	 (3.60393e-05+0j)	 (1.94752e-05+0j)	 (1.94752e-05+0j)
 (-29.425+0.1j)	 (3.61004e-05+0j)	 (3.61004e-05+0j)	 (2.03777e-05+0j)	 (2.03777e-05+0j)
 (-29.4+0.1j)	 (3.61617e-05+0j)	 (3.61617e-05+0j)	 (2.12817e-05+0j)	 (2.12817e-05+0j)
 (-29.375+0.1j)	 (3.62232e-05+0j)	 (3.62232e-05+0j)	 (2.21873e-05+0j)	 (2.21873e-05+0j)
 (-29.35+0.1j)	 (3.62849e-05+0j)	 (3.62849e-05+0j)	 (2.30944e-05+0j)	 (2.30944e-05+0j)
 (-29.325+0.1j)	 (3.63467e-05+0j)	 (3.63467e-05+0j)	 (2.40031e-05+0j)	 (2.40031e-05+0j)
 (-29.3+0.1j)	 (3.64086e-05+0j)	 (3.64086e-05+0j)	 (2.49133e-05+0j)	 (2.49133e-05+0j)
 (-29.275+0.1j)	 (3.64707e-05+0j)	 (3.64707e-05+0j)	 (2.58251e-05+0j)	 (2.58251e-05+0j)
 (-29.25+0.1j)	 (3.6533e-05+0j)	 (3.6533e-05+0j)	 (2.67384e-05+0j)	 (2.67384e-05+0j)
 (-29.225+0.1j)	 (3.65954e-05+0j)	 (3.65954e-05+0j)	 (2.76533e-05+0j)	 (2.76533e-05+0j)
 (-29.2+0.1j)	 (3.6658e-05+0j)	 (3.6658e-05+0j)	 (2.85697e-05+0j)	 (2.85697e-05+0j)
 (-29.175+0.1j)	 (3.67208e-05+0j)	 (3.67208e-05+0j)	 (2.94877e-05+0j)	 (2.94877e-05+0j)
 (-29.15+0.1j)	 (3.67837e-05+0j)	 (3.67837e-05+0j)	 (3.04073e-05+0j)	 (3.04073e-05+0j)
 (-29.125+0.1j)	 (3.68468e-05+0j)	 (3.68468e-05+0j)	 (3.13285e-05+0j)	 (3.13285e-05+0j)
 (-29.1+0.1j)	 (3.691e-05+0j)	 (3.691e-05+0j)	 (3.22513e-05+0j)	 (3.22513e-05+0j)
 (-29.075+0.1j)	 (3.69734e-05+0j)	 (3.69734e-05+0j)	 (3.31756e-05+0j)	 (3.31756e-05+0j)
 (-29.05+0.1j)	 (3.7037e-05+0j)	 (3.7037e-05+0j)	 (3.41015e-05+0j)	 (3.41015e-05+0j)
 (-29.025+0.1j)	 (3.71007e-05+0j)	 (3.71007e-05+0j)	 (3.5029e-05+0j)	 (3.5029e-05+0j)
 (-29+0.1j)	 (3.71646e-05+0j)	 (3.71646e-05+0j)	 (3.59582e-05+0j)	 (3.59582e-05+0j)
 (-28.975+0.1j)	 (3.72287e-05+0j)	 (3.72287e-05+0j)	 (3.68889e-05+0j)	 (3.68889e-05+0j)
 (-28.95+0.1j)	 (3.7293e-05+0j)	 (3.7293e-05+0j)	 (3.78212e-05+0j)	 (3.78212e-05+0j)
 (-28.925+0.1j)	 (3.73574e-05+0j)	 (3.73574e-05+0j)	 (3.87551e-05+0j)	 (3.87551e-05+0j)
 (-28.9+0.1j)	 (3.74219e-05+0j)	 (3.74219e-05+0j)	 (3.96907e-05+0j)	 (3.96907e-05+0j)
 (-28.875+0.1j)	 (3.74867e-05+0j)	 (3.74867e-05+0j)	 (4.06278e-05+0j)	 (4.06278e-05+0j)
 (-28.85+0.1j)	 (3.75516e-05+0j)	 (3.75516e-05+0j)	 (4.15666e-05+0j)	 (4.15666e-05+0j)
 (-28.825+0.1j)	 (3.76167e-05+0j)	 (3.76167e-05+0j)	 (4.2507e-05+0j)	 (4.2507e-05+0j)
 (-28.8+0.1j)	 (3.76819e-05+0j)	 (3.76819e-05+0j)	 (4.34491e-05+0j)	 (4.34491e-05+0j)
 (-28.775+0.1j)	 (3.77473e-05+0j)	 (3.77473e-05+0j)	 (4.43928e-05+0j)	 (4.43928e-05+0j)
 (-28.75+0.1j)	 (3.78129e-05+0j)	 (3.78129e-05+0j)	 (4.53381e-05+0j)	 (4.53381e-05+0j)
 (-28.725+0.1j)	 (3.78787e-05+0j)	 (3.78787e-05+0j)	 (4.62851e-05+0j)	 (4.62851e-05+0j)
 (-28.7+0.1j)	 (3.79446e-05+0j)	 (3.79446e-05+0j)	 (4.72337e-05+0j)	 (4.72337e-05+0j)
 (-28.675+0.1j)	 (3.80107e-05+0j)	 (3.80107e-05+0j)	 (4.81839e-05+0j)	 (4.81839e-05+0j)
 (-28.65+0.1j)	 (3.8077e-05+0j)	 (3.8077e-05+0j)	 (4.91359e-05+0j)	 (4.91359e-05+0j)
 (-28.625+0.1j)	 (3.81434e-05+0j)	 (3.81434e-05+0j)	 (5.00895e-05+0j)	 (5.00895e-05+0j)
 (-28.6+0.1j)	 (3.82101e-05+0j)	 (3.82101e-05+0j)	 (5.10447e-05+0j)	 (5.10447e-05+0j)
 (-28.575+0.1j)	 (3.82769e-05+0j)	 (3.82769e-05+0j)	 (5.20016e-05+0j)	 (5.20016e-05+0j)
 (-28.55+0.1j)	 (3.83439e-05+0j)	 (3.83439e-05+0j)	 (5.29602e-05+0j)	 (5.29602e-05+0j)
 (-28.525+0.1j)	 (3.8411e-05+0j)	 (3.8411e-05+0j)	 (5.39205e-05+0j)	 (5.39205e-05+0j)
 (-28.5+0.1j)	 (3.84784e-05+0j)	 (3.84784e-05+0j)	 (5.48825e-05+0j)	 (5.48825e-05+0j)
 (-28.475+0.1j)	 (3.85459e-05+0j)	 (3.85459e-05+0j)	 (5.58461e-05+0j)	 (5.58461e-05+0j)
 (-28.45+0.1j)	 (3.86136e-05+0j)	 (3.86136e-05+0j)	 (5.68115e-05+0j)	 (5.68115e-05+0j)
 (-28.425+0.1j)	 (3.86814e-05+0j)	 (3.86814e-05+0j)	 (5.77785e-05+0j)	 (5.77785e-05+0j)
 (-28.4+0.1j)	 (3.87495e-05+0j)	 (3.87495e-05+0j)	 (5.87472e-05+0j)	 (5.87472e-05+0j)
 (-28.375+0.1j)	 (3.88177e-05+0j)	 (3.88177e-05+0j)	 (5.97177e-05+0j)	 (5.97177e-05+0j)
 (-28.35+0.1j)	 (3.88861e-05+0j)	 (3.88861e-05+0j)	 (6.06898e-05+0j)	 (6.06898e-05+0j)
 (-28.325+0.1j)	 (3.89547e-05+0j)	 (3.89547e-05+0j)	 (6.16637e-05+0j)	 (6.16637e-05+0j)
 (-28.3+0.1j)	 (3.90235e-05+0j)	 (3.90235e-05+0j)	 (6.26393e-05+0j)	 (6.26393e-05+0j)
 (-28.275+0.1j)	 (3.90925e-05+0j)	 (3.90925e-05+0j)	 (6.36166e-05+0j)	 (6.36166e-05+0j)
 (-28.25+0.1j)	 (3.91616e-05+0j)	 (3.91616e-05+0j)	 (6.45956e-05+0j)	 (6.45956e-05+0j)
 (-28.225+0.1j)	 (3.9231e-05+0j)	 (3.9231e-05+0j)	 (6.55764e-05+0j)	 (6.55764e-05+0j)
 (-28.2+0.1j)	 (3.93005e-05+0j)	 (3.93005e-05+0j)	 (6.65589e-05+0j)	 (6.65589e-05+0j)
 (-28.175+0.1j)	 (3.93702e-05+0j)	 (3.93702e-05+0j)	 (6.75432e-05+0j)	 (6.75432e-05+0j)
 (-28.15+0.1j)	 (3.94401e-05+0j)	 (3.94401e-05+0j)	 (6.85292e-05+0j)	 (6.85292e-05+0j)
 (-28.125+0.1j)	 (3.95101e-05+0j)	 (3.95101e-05+0j)	 (6.95169e-05+0j)	 (6.95169e-05+0j)
 (-28.1+0.1j)	 (3.95804e-05+0j)	 (3.95804e-05+0j)	 (7.05064e-05+0j)	 (7.05064e-05+0j)
 (-28.075+0.1j)	 (3.96509e-05+0j)	 (3.96509e-05+0j)	 (7.14977e-05+0j)	 (7.14977e-05+0j)
 (-28.05+0.1j)	 (3.97215e-05+0j)	 (3.97215e-05+0j)	 (7.24907e-05+0j)	 (7.24907e-05+0j)
 (-28.025+0.1j)	 (3.97923e-05+0j)	 (3.97923e-05+0j)	 (7.34856e-05+0j)	 (7.34856e-05+0j)
 (-28+0.1j)	 (3.98634e-05+0j)	 (3.98634e-05+0j)	 (7.44821e-05+0j)	 (7.44821e-05+0j)
 (-27.975+0.1j)	 (3.99346e-05+0j)	 (3.99346e-05+0j)	 (7.54805e-05+0j)	 (7.54805e-05+0j)
 (-27.95+0.1j)	 (4.0006e-05+0j)	 (4.0006e-05+0j)	 (7.64807e-05+0j)	 (7.64807e-05+0j)
 (-27.925+0.1j)	 (4.00776e-05+0j)	 (4.00776e-05+0j)	 (7.74826e-05+0j)	 (7.74826e-05+0j)
 (-27.9+0.1j)	 (4.01494e-05+0j)	 (4.01494e-05+0j)	 (7.84863e-05+0j)	 (7.84863e-05+0j)
 (-27.875+0.1j)	 (4.02214e-05+0j)	 (4.02214e-05+0j)	 (7.94919e-05+0j)	 (7.94919e-05+0j)
 (-27.85+0.1j)	 (4.02935e-05+0j)	 (4.02935e-05+0j)	 (8.04992e-05+0j)	 (8.04992e-05+0j)
 (-27.825+0.1j)	 (4.03659e-05+0j)	 (4.03659e-05+0j)	 (8.15083e-05+0j)	 (8.15083e-05+0j)
 (-27.8+0.1j)	 (4.04385e-05+0j)	 (4.04385e-05+0j)	 (8.25193e-05+0j)	 (8.25193e-05+0j)
 (-27.775+0.1j)	 (4.05113e-05+0j)	 (4.05113e-05+0j)	 (8.35321e-05+0j)	 (8.35321e-05+0j)
 (-27.75+0.1j)	 (4.05842e-05+0j)	 (4.05842e-05+0j)	 (8.45467e-05+0j)	 (8.45467e-05+0j)
 (-27.725+0.1j)	 (4.06574e-05+0j)	 (4.06574e-05+0j)	 (8.55631e-05+0j)	 (8.55631e-05+0j)
 (-27.7+0.1j)	 (4.07308e-05+0j)	 (4.07308e-05+0j)	 (8.65814e-05+0j)	 (8.65814e-05+0j)
 (-27.675+0.1j)	 (4.08043e-05+0j)	 (4.08043e-05+0j)	 (8.76015e-05+0j)	 (8.76015e-05+0j)
 (-27.65+0.1j)	 (4.08781e-05+0j)	 (4.08781e-05+0j)	 (8.86235e-05+0j)	 (8.86235e-05+0j)
 (-27.625+0.1j)	 (4.09521e-05+0j)	 (4.09521e-05+0j)	 (8.96473e-05+0j)	 (8.96473e-05+0j)
 (-27.6+0.1j)	 (4.10262e-05+0j)	 (4.10262e-05+0j)	 (9.06729e-05+0j)	 (9.06729e-05+0j)
