#mu n n_h sigma_xx sigma_yy sigma_xy
-4.0 1.0 -0.001794199695448002 -6.367128361250769e-42 -6.367128361250769e-42 -1.4102822449319698e-61
-3.979949874686717 1.0 -0.0017870885574416196 -7.058445815180632e-42 -7.058445815180607e-42 -1.740049898529264e-61
-3.9598997493734336 1.0 -0.0017805078682643354 -7.86773153768268e-42 -7.86773153768273e-42 -2.1699252533043285e-61
-3.9398496240601504 1.0 -0.001774511560515213 -8.823253250300612e-42 -8.82325325030062e-42 -2.7382195245599098e-61
-3.919799498746867 1.0 -0.0017691641462478072 -9.962214744645645e-42 -9.962214744645637e-42 -3.501331855713587e-61
-3.899749373433584 0.9999999999999999 -0.0017645442569703513 -1.133434520990316e-41 -1.1334345209903247e-41 -4.544121368570271e-61
-3.8796992481203008 0.999999999999999 -0.0017607498726130869 -1.300727581489168e-41 -1.300727581489165e-41 -5.997422428365126e-61
-3.8596491228070176 0.999999999999993 -0.0017579062611399738 -1.507478811353877e-41 -1.507478811353875e-41 -8.068565453020041e-61
-3.8395989974937343 0.9999999999999477 -0.001756178402384012 -1.76698112259064e-41 -1.7669811225906397e-41 -1.1096468738046765e-60
-3.819548872180451 0.999999999999612 -0.0017557910844901254 -2.0985527926447188e-41 -2.098552792644694e-41 -1.5655125914764967e-60
-3.799498746867168 0.9999999999971183 -0.0017570626339599585 -2.5310837484751043e-41 -2.5310837484751043e-41 -2.275702014024627e-60
-3.7794486215538847 0.9999999999785997 -0.001760463927615008 -3.1092297946832505e-41 -3.109229794683254e-41 -3.4274262380936136e-60
-3.7593984962406015 0.9999999998410769 -0.001766726615729751 -3.904722201634306e-41 -3.9047222016343065e-41 -5.386424019302611e-60
-3.7393483709273183 0.9999999988198075 -0.0017770525783100935 -5.038090698737752e-41 -5.038090698737758e-41 -8.9149988597544e-60
-3.719298245614035 0.9999999912356948 -0.0017935451473702541 -6.722865747229286e-41 -6.722865747229286e-41 -1.5728458845543462e-59
-3.699248120300752 0.9999999349160074 -0.0018201616061901491 -9.361497409666486e-41 -9.3614974096665e-41 -3.0051786855743264e-59
-3.6791979949874687 0.9999995167499941 -0.0018649864354748763 -1.3768004582255114e-40 -1.3768004582255086e-40 -6.343894216392271e-59
-3.6591478696741855 0.9999964154730207 -0.0019460827281222535 -2.1714950686170535e-40 -2.171495068617053e-40 -1.512328034603759e-58
-3.6390977443609023 0.9999736080606481 -0.0021071806945239034 -3.7276733260348235e-40 -3.727673326034832e-40 -4.1158877270742984e-58
-3.619047619047619 0.9998154530566096 -0.0024554315581093973 -6.9466459816219566e-40 -6.946645981621986e-40 -1.2266258320070853e-57
-3.598997493734336 0.999009426495435 -0.0032042317491817766 -1.3288394292988355e-39 -1.3288394292988404e-39 -3.439621848841425e-57
-3.5789473684210527 0.9970423099351118 -0.004564565717560579 -2.3561036447826198e-39 -2.356103644782621e-39 -7.590649257121374e-57
-3.5588972431077694 0.9944917735171722 -0.0064974386456987014 -3.676718992108649e-39 -3.676718992108643e-39 -1.298578762470924e-56
-3.5388471177944862 0.991815045540199 -0.008793335403326618 -5.1452269749038945e-39 -5.1452269749039004e-39 -1.8790790181750207e-56
-3.518796992481203 0.9891077723861229 -0.011285899714945062 -6.676609919282285e-39 -6.67660991928228e-39 -2.465275309099942e-56
-3.49874686716792 0.9863836486546462 -0.01388711395392307 -8.232871868273506e-39 -8.232871868273485e-39 -3.046353655232865e-56
-3.4786967418546366 0.9836443604794067 -0.0165547519302468 -9.797398043409468e-39 -9.797398043409456e-39 -3.618998760190136e-56
-3.4586466165413534 0.9808899534882919 -0.019268403198348116 -1.1362480298798431e-38 -1.1362480298798398e-38 -4.182059112542762e-56
-3.43859649122807 0.9781202474724128 -0.02201790310718516 -1.292426324531283e-38 -1.292426324531288e-38 -4.735057318906942e-56
-3.418546365914787 0.9753350270544441 -0.024798108379360386 -1.4480675907246976e-38 -1.4480675907246926e-38 -5.277748851176722e-56
-3.398496240601504 0.9725340671893083 -0.027606484709551498 -1.6030533562876493e-38 -1.603053356287648e-38 -5.809977529551019e-56
-3.3784461152882206 0.9697171364082635 -0.030441939767046275 -1.757312048278664e-38 -1.757312048278666e-38 -6.331623133008171e-56
-3.3583959899749374 0.966883997056008 -0.033304229704408654 -1.9107983319634412e-38 -1.9107983319634417e-38 -6.842580571953947e-56
-3.338345864661654 0.9640344051123978 -0.03619364306306793 -2.0634822811663163e-38 -2.063482281166312e-38 -7.342750899407888e-56
-3.318295739348371 0.9611681099470623 -0.039110825666262033 -2.215343411583394e-38 -2.215343411583414e-38 -7.832037131396592e-56
-3.2982456140350878 0.9582848540530704 -0.04205668060954838 -2.3663672474240154e-38 -2.366367247424012e-38 -8.31034216076544e-56
-3.2781954887218046 0.9553843727650553 -0.04503231004194681 -2.5165432696518086e-38 -2.51654326965181e-38 -8.77756763790233e-56
-3.2581453634085213 0.952466393961643 -0.048038981183705066 -2.665863648856215e-38 -2.6658636488562205e-38 -9.233613321001623e-56
-3.238095238095238 0.9495306377512236 -0.05107810697660101 -2.8143224400291947e-38 -2.8143224400291905e-38 -9.678376663833246e-56
-3.218045112781955 0.9465768161398876 -0.054151235937498314 -2.961915058121989e-38 -2.961915058121997e-38 -1.0111752527323778e-55
-3.1979949874686717 0.9436046326802612 -0.057260048060080095 -3.108637929271378e-38 -3.1086379292713997e-38 -1.0533632956700873e-55
-3.1779448621553885 0.9406137820999061 -0.060406354891460706 -3.254488254846473e-38 -3.2544882548464884e-38 -1.0943906993100615e-55
-3.1578947368421053 0.9376039499076119 -0.06359210265654716 -3.399463849716392e-38 -3.399463849716386e-38 -1.1342460502342839e-55
-3.137844611528822 0.9345748119761198 -0.0668193777510827 -3.5435630304510664e-38 -3.543563030451068e-38 -1.1729176010856074e-55
-3.117794486215539 0.9315260340994985 -0.07009041420258592 -3.6867845378436e-38 -3.686784537843606e-38 -1.2103932542670814e-55
-3.0977443609022557 0.9284572715227241 -0.07340760287713721 -3.8291274835195876e-38 -3.8291274835195986e-38 -1.2466605453592128e-55
-3.0776942355889725 0.9253681684424261 -0.07677350232999021 -3.970591313810886e-38 -3.970591313810896e-38 -1.2817066259889449e-55
-3.0576441102756893 0.9222583574747547 -0.08019085128259744 -4.111175786277838e-38 -4.1111757862778403e-38 -1.3155182459554862e-55
-3.037593984962406 0.9191274590897567 -0.08366258277236065 -4.2508809557192327e-38 -4.250880955719273e-38 -1.3480817344563487e-55
-3.017543859649123 0.9159750810078788 -0.08719184007274937 -4.3897071674834425e-38 -4.3897071674834154e-38 -1.379382980278817e-55
-2.9974937343358397 0.9128008175555441 -0.09078199452672625 -4.5276550565659614e-38 -4.527655056565946e-38 -1.409407410831282e-55
-2.9774436090225564 0.9096042489787904 -0.09443666547877294 -4.6647255514387006e-38 -4.6647255514387043e-38 -1.4381399698910776e-55
-2.9573934837092732 0.9063849407063697 -0.09815974253377333 -4.800919881886975e-38 -4.800919881886952e-38 -1.4655650939439565e-55
-2.93734335839599 0.903142442563238 -0.1019554104167126 -4.936239590371092e-38 -4.936239590371081e-38 -1.4916666869818253e-55
-2.917293233082707 0.899876287927789 -0.10582817675689132 -5.070686546600983e-38 -5.070686546600968e-38 -1.5164280936185172e-55
-2.8972431077694236 0.896585992824811 -0.10978290317732085 -5.204262965153083e-38 -5.204262965153048e-38 -1.5398320703695003e-55
-2.8771929824561404 0.8932710549536258 -0.11382484013481248 -5.336971426061681e-38 -5.336971426061677e-38 -1.5618607549276932e-55
-2.857142857142857 0.8899309526429446 -0.11795966603203457 -5.468814898406658e-38 -5.468814898406617e-38 -1.5824956332516654e-55
-2.837092731829574 0.8865651437223596 -0.12219353121206727 -5.59979676699733e-38 -5.599796766997277e-38 -1.6017175042609459e-55
-2.817042606516291 0.8831730643063864 -0.12653310755106428 -5.729920862319306e-38 -5.729920862319293e-38 -1.6195064419124026e-55
-2.7969924812030076 0.8797541274823978 -0.13098564449031677 -5.859191493982307e-38 -5.85919149398229e-38 -1.6358417544049347e-55
-2.7769423558897244 0.8763077218901096 -0.13555903249887094 -5.987613487974147e-38 -5.987613487974154e-38 -1.6507019402318552e-55
-2.756892230576441 0.8728332101802095 -0.14026187513843874 -6.11519222809962e-38 -6.115192228099562e-38 -1.664064640763857e-55
-2.736842105263158 0.8693299273442612 -0.1451035711200234 -6.241933702063436e-38 -6.241933702063519e-38 -1.6759065890092792e-55
-2.7167919799498748 0.8657971789002418 -0.15009440800602497 -6.367844552751942e-38 -6.36784455275195e-38 -1.686203554153412e-55
-2.6967418546365916 0.862234238912133 -0.15524566953345964 -6.492932135368053e-38 -6.492932135368041e-38 -1.6949302814269352e-55
-2.6766917293233083 0.8586403478325887 -0.16056975892844355 -6.617204581210507e-38 -6.617204581210496e-38 -1.7020604267941315e-55
-2.656641604010025 0.8550147101441326 -0.16608034106681036 -6.740670869032852e-38 -6.740670869032895e-38 -1.7075664858845998e-55
-2.636591478696742 0.8513564917749215 -0.1717925069357035 -6.863340905109509e-38 -6.863340905109518e-38 -1.7114197165117782e-55
-2.6165413533834587 0.847664817263405 -0.17772296459663406 -6.985225613365358e-38 -6.985225613365367e-38 -1.7135900540287123e-55
-2.5964912280701755 0.8439387666383265 -0.1838902617823079 -7.106337037213336e-38 -7.106337037213333e-38 -1.7140460186648817e-55
-2.5764411027568923 0.8401773719790828 -0.19031504643191421 -7.226688455111918e-38 -7.226688455111926e-38 -1.7127546138588245e-55
-2.556390977443609 0.8363796136146052 -0.19702037295181163 -7.346294512318509e-38 -7.346294512318523e-38 -1.7096812144549564e-55
-2.536340852130326 0.8325444159122535 -0.20403206387743528 -7.465171371926448e-38 -7.465171371926453e-38 -1.704789443454056e-55
-2.5162907268170427 0.8286706426008075 -0.21137913903311767 -7.583336889065252e-38 -7.583336889065208e-38 -1.6980410358006223e-55
-2.4962406015037595 0.8247570915574444 -0.21909432741483822 -7.700810813210665e-38 -7.700810813210694e-38 -1.6893956874411478e-55
-2.4761904761904763 0.8208024889824697 -0.22721468109309764 -7.817615024983807e-38 -7.817615024983835e-38 -1.6788108875913074e-55
-2.456140350877193 0.8168054828741748 -0.23578231577950357 -7.93377381579677e-38 -7.933773815796802e-38 -1.6662417317991238e-55
-2.43609022556391 0.8127646356891054 -0.24484530978262717 -8.049314221458055e-38 -8.049314221458089e-38 -1.6516407129665625e-55
-2.4160401002506267 0.8086784160593616 -0.2544588025503645 -8.164266424779037e-38 -8.164266424779025e-38 -1.6349574869874897e-55
-2.3959899749373434 0.8045451894119868 -0.26468634679522346 -8.278664247916658e-38 -8.278664247916629e-38 -1.6161386090566908e-55
-2.3759398496240602 0.8003632072994683 -0.2756015856905214 -8.392545763622832e-38 -8.39254576362283e-38 -1.595127235987683e-55
-2.355889724310777 0.7961305952176241 -0.2872903508212006 -8.505954067333834e-38 -8.505954067333907e-38 -1.5718627890432236e-55
-2.335839598997494 0.7918453386294982 -0.29985331049332237 -8.618938271820557e-38 -8.618938271820449e-38 -1.5462805708351159e-55
-2.3157894736842106 0.7875052668567364 -0.31340934625894723 -8.731554817565191e-38 -8.731554817565195e-38 -1.5183113288493454e-55
-2.2957393483709274 0.7831080344139694 -0.32809990527545 -8.84386924339201e-38 -8.843869243391921e-38 -1.4878807572557413e-55
-2.275689223057644 0.7786510992610768 -0.34409467881289396 -8.955958648272913e-38 -8.955958648272946e-38 -1.454908928284033e-55
-2.255639097744361 0.7741316973100141 -0.3615991114780371 -9.067915225257899e-38 -9.067915225257863e-38 -1.4193096455935696e-55
-2.235588972431078 0.7695468123460162 -0.3808644827612632 -9.179851518254212e-38 -9.179851518254331e-38 -1.3809897171768745e-55
-2.2155388471177946 0.7648931402849779 -0.40220167624776526 -9.291908556355964e-38 -9.29190855635604e-38 -1.3398481604705398e-55
-2.1954887218045114 0.7601670463666971 -0.4260003584319017 -9.40426900233493e-38 -9.40426900233513e-38 -1.2957753930418728e-55
-2.175438596491228 0.7553645134243216 -0.4527563057574008 -9.5171794559482e-38 -9.517179455948273e-38 -1.2486525703441522e-55
-2.155388471177945 0.7504810785841995 -0.4831113810622409 -9.630990357935233e-38 -9.630990357935168e-38 -1.1983515273728196e-55
-2.1353383458646618 0.7455117535334995 -0.5179138100701662 -9.74623172326147e-38 -9.74623172326147e-38 -1.1447366312495627e-55
-2.1152882205513786 0.7404509120991138 -0.558312093645622 -9.8637665331685e-38 -9.86376653316859e-38 -1.0876724785555303e-55
-2.0952380952380953 0.7352920514953842 -0.6059054606424412 -9.985124038308034e-38 -9.985124038308034e-38 -1.0270501919530583e-55
-2.075187969924812 0.7300267697607368 -0.6629831086273339 -1.0113277094516296e-37 -1.011327709451639e-37 -9.62877317052178e-56
-2.055137844611529 0.7246381500833416 -0.7328393897110096 -1.0254555540626582e-37 -1.0254555540626534e-37 -8.95600825456935e-56
-2.0350877192982457 0.7190540015358727 -0.8196859603134448 -1.0423255420044468e-37 -1.0423255420044448e-37 -8.27273037798906e-56
-2.0150375939849625 0.7128551357985806 -0.9255841458323305 -1.0649724897159827e-37 -1.0649724897159767e-37 -7.648045759496199e-56
-1.9949874686716793 0.7045132807839374 -1.04289820322387 -1.0977633772686282e-37 -1.0977633772686293e-37 -7.212156850511142e-56
-1.974937343358396 0.6931839867587608 -1.1649799282123317 -1.1422259180001691e-37 -1.1422259180001727e-37 -6.989967947176217e-56
-1.954887218045113 0.6804319030290626 -1.307206373180958 -1.1950438319147173e-37 -1.195043831914718e-37 -6.818881119810521e-56
-1.9348370927318297 0.6670677518189609 -1.4933730760599409 -1.2525680626614238e-37 -1.2525680626614203e-37 -6.557283450635063e-56
-1.9147869674185465 0.6531812027924486 -1.7530495704606068 -1.312997981475996e-37 -1.3129979814759975e-37 -6.137952545614248e-56
-1.8947368421052633 0.6386966204401043 -2.140306122245273 -1.3757956706612744e-37 -1.375795670661277e-37 -5.5197777238995795e-56
-1.87468671679198 0.6234689328706944 -2.78227556560595 -1.4410908873916969e-37 -1.4410908873916908e-37 -4.658780065241978e-56
-1.8546365914786969 0.6072476064767531 -4.073643472614987 -1.5094511065168223e-37 -1.5094511065168183e-37 -3.490958530687195e-56
-1.8345864661654137 0.5895420043819715 -8.146885241036065 -1.5817241860698057e-37 -1.5817241860698046e-37 -1.9167237243479828e-56
-1.8145363408521304 0.5694299360319719 99.19913284993912 -1.6582984412674608e-37 -1.6582984412674623e-37 1.7302430582358776e-57
-1.7944862155388472 0.5469019609495926 7.02015858957597 -1.736915740621733e-37 -1.7369157406217403e-37 2.68225574969809e-56
-1.774436090225564 0.5257046650178547 3.974871985106413 -1.812112352576824e-37 -1.8121123525768171e-37 5.156282480243405e-56
-1.7543859649122808 0.5074915601335968 3.024527922493924 -1.8802155684360772e-37 -1.8802155684360734e-37 7.2953695599071e-56
-1.7343358395989976 0.49127893486670693 2.5762663539876693 -1.9412651307347112e-37 -1.941265130734713e-37 9.129953215810041e-56
-1.7142857142857144 0.47635096104266406 2.3137416026760693 -1.996551565223106e-37 -1.9965515652231405e-37 1.0753152704444234e-55
-1.6942355889724312 0.46234925773222724 2.1392946101822763 -2.0472493788032792e-37 -2.047249378803256e-37 1.2228142899203885e-55
-1.674185463659148 0.4490723842737012 2.0138466554507533 -2.094217892485281e-37 -2.0942178924852805e-37 1.359273780543659e-55
-1.6541353383458648 0.4363910416165956 1.9186992186009981 -2.1380718705663836e-37 -2.1380718705663953e-37 1.4870559435715529e-55
-1.6340852130325816 0.42421443981642504 1.843712266966334 -2.1792612716281528e-37 -2.1792612716281415e-37 1.6077372083805425e-55
-1.6140350877192984 0.41247500357371447 1.7828703441155738 -2.218125886457703e-37 -2.218125886457696e-37 1.722432556507931e-55
-1.5939849624060152 0.40112037454202387 1.732359070707411 -2.254930044048795e-37 -2.2549300440487936e-37 1.8319678087562406e-55
-1.573934837092732 0.39010876647934856 1.6896329890697719 -2.289884742082655e-37 -2.289884742082676e-37 1.9369770391751997e-55
-1.5538847117794488 0.37940605594815413 1.6529234761720257 -2.323162121373633e-37 -2.3231621213735933e-37 2.0379611201495095e-55
-1.5338345864661656 0.3689838594307948 1.62096084393081 -2.354905225150734e-37 -2.354905225150725e-37 2.135324823297309e-55
-1.5137844611528823 0.35881821051317075 1.5928086277129399 -2.385234777148119e-37 -2.3852347771481093e-37 2.229401414967678e-55
-1.4937343358395991 0.34888860779865294 1.5677602652523013 -2.4142540196838845e-37 -2.4142540196838778e-37 2.320469580340569e-55
-1.473684210526316 0.3391773309403351 1.5452722404834247 -2.4420522548571434e-37 -2.4420522548571497e-37 2.408765424934646e-55
-1.4536340852130327 0.32966890800965054 1.5249193920437296 -2.4687074878540904e-37 -2.4687074878541038e-37 2.4944912655694342e-55
-1.4335839598997495 0.3203497333477384 1.506364288588552 -2.494288449249166e-37 -2.494288449249176e-37 2.577822120431252e-55
-1.4135338345864663 0.31120773749212705 1.489335632748419 -2.518856151549671e-37 -2.5188561515496915e-37 2.658910741541147e-55
-1.393483709273183 0.30223216831867505 1.4736128469992444 -2.5424651282987032e-37 -2.542465128298694e-37 2.7378913972276887e-55
-1.3734335839599 0.29341336222828407 1.4590147416366341 -2.565164411179953e-37 -2.5651644111799492e-37 2.8148829349747064e-55
-1.3533834586466167 0.28474262061769673 1.4453910951939701 -2.586998318743141e-37 -2.586998318743158e-37 2.8899912272937015e-55
-1.3333333333333335 0.2762120544258261 1.4326164366201168 -2.6080071250664367e-37 -2.608007125066444e-37 2.9633109361437073e-55
-1.3132832080200503 0.2678144757859702 1.4205850217976328 -2.6282275576384565e-37 -2.628227557638435e-37 3.0349273843015693e-55
-1.293233082706767 0.25954334257820433 1.409207258901238 -2.647693273381271e-37 -2.6476932733812757e-37 3.1049175980229482e-55
-1.2731829573934839 0.25139263480878205 1.3984067955494164 -2.666435236190977e-37 -2.6664352361909873e-37 3.1733513549956916e-55
-1.2531328320802007 0.243356812772191 1.3881179891435158 -2.684481980552336e-37 -2.68448198055233e-37 3.2402924590003166e-55
-1.2330827067669174 0.23543078887752789 1.3782842873029426 -2.7018599290407525e-37 -2.701859929040734e-37 3.305799136619198e-55
-1.2130325814536342 0.22760984660852945 1.3688568212597307 -2.7185936430369526e-37 -2.718593643036966e-37 3.369924537653394e-55
-1.192982456140351 0.21988957897644024 1.3597929263969333 -2.7347059454055072e-37 -2.7347059454054876e-37 3.43271777019061e-55
-1.1729323308270678 0.21226592526924282 1.3510552022647302 -2.7502181074970387e-37 -2.7502181074970416e-37 3.494224355374951e-55
-1.1528822055137846 0.20473509824488068 1.342611023376689 -2.765150065606734e-37 -2.765150065606717e-37 3.554486006718189e-55
-1.1328320802005014 0.19729355593318887 1.3344317423465766 -2.779520540629396e-37 -2.7795205406293777e-37 3.613541259368171e-55
-1.1127819548872182 0.18993794269915543 1.3264919036131968 -2.7933470659665303e-37 -2.793347065966555e-37 3.671426182117845e-55
-1.092731829573935 0.18266515574529207 1.3187688244950304 -2.8066460969383354e-37 -2.8066460969383667e-37 3.728174589673822e-55
-1.0726817042606518 0.1754722774135904 1.3112423970346936 -2.8194331898237004e-37 -2.819433189823689e-37 3.783818000877071e-55
-1.0526315789473686 0.16835656237114993 1.3038949621360265 -2.8317230688090854e-37 -2.8317230688090933e-37 3.8383852044392674e-55
-1.0325814536340854 0.16131542102458696 1.296710670111302 -2.8435296992158704e-37 -2.8435296992158775e-37 3.8919034605015115e-55
-1.0125313283208022 0.15434635936388963 1.2896752180748423 -2.854866250431367e-37 -2.854866250431337e-37 3.944398496554846e-55
-0.992481203007519 0.14744706417851383 1.2827757087197502 -2.8657451465855125e-37 -2.865745146585505e-37 3.9958944691823235e-55
-0.9724310776942358 0.1406153626926554 1.2760004014719626 -2.8761782411643744e-37 -2.8761782411643548e-37 4.0464146849486e-55
-0.9523809523809526 0.13384915863124192 1.26933889035684 -2.8861768231931714e-37 -2.886176823193183e-37 4.095980587685063e-55
-0.9323308270676693 0.12714649283891544 1.2627819963901357 -2.895751648397487e-37 -2.895751648397498e-37 4.144611705757348e-55
-0.9122807017543861 0.12050551334616255 1.2563212914949027 -2.9049130550910165e-37 -2.9049130550910286e-37 4.192327123883679e-55
-0.8922305764411029 0.11392440243841961 1.2499490665284287 -2.9136709065557712e-37 -2.913670906555765e-37 4.2391451252086815e-55
-0.8721804511278197 0.10740142620697246 1.2436584267196544 -2.922034516186061e-37 -2.9220345161860427e-37 4.285082352031227e-55
-0.8521303258145365 0.10093498390088218 1.237443020407207 -2.93001277730442e-37 -2.9300127773044107e-37 4.330154819552065e-55
-0.8320802005012533 0.09452354661444007 1.2312968583919905 -2.937614284232118e-37 -2.937614284232139e-37 4.374378692647576e-55
-0.8120300751879701 0.08816561176617299 1.2252145048128644 -2.9448472723001317e-37 -2.9448472723001317e-37 4.417769257806653e-55
-0.7919799498746869 0.08185974506269889 1.219191214517023 -2.9517195612943134e-37 -2.9517195612943134e-37 4.460340035856684e-55
-0.7719298245614037 0.07560461319923373 1.2132227276355034 -2.958238657014322e-37 -2.9582386570143276e-37 4.502103601549826e-55
-0.7518796992481205 0.06939895412810837 1.207305018148417 -2.964411875661684e-37 -2.9644118756616964e-37 4.543072728264884e-55
-0.7318295739348373 0.06324152820230489 1.2014343037449173 -2.970246327413548e-37 -2.970246327413534e-37 4.583260198532963e-55
-0.7117794486215541 0.057131113731951344 1.1956071863592528 -2.9757488141960923e-37 -2.975748814196084e-37 4.622677839305645e-55
-0.6917293233082709 0.051066541860445236 1.1898206863444651 -2.9809257911055106e-37 -2.980925791105527e-37 4.661336118885394e-55
-0.6716791979949877 0.045046715001395676 1.1840721096050888 -2.9857834404964977e-37 -2.9857834404964822e-37 4.699244748931049e-55
-0.6516290726817044 0.039070598187955996 1.1783588888420955 -2.9903277762776067e-37 -2.9903277762775833e-37 4.736413538433475e-55
-0.6315789473684212 0.03313719161095985 1.1726785437846776 -2.994564683016511e-37 -2.994564683016488e-37 4.772852618135791e-55
-0.611528822055138 0.027245512433649033 1.1670287339913352 -2.99849988161527e-37 -2.9984998816152596e-37 4.8085720656394045e-55
-0.5914786967418548 0.021394598792447428 1.1614073397474096 -3.0021388706367252e-37 -3.002138870636716e-37 4.8435813156445115e-55
-0.5714285714285716 0.015583518867554047 1.155812486068505 -3.005486901134103e-37 -3.005486901134105e-37 4.877888889108017e-55
-0.5513784461152884 0.009811384214938546 1.1502425018679057 -3.0085490002763724e-37 -3.008549000276345e-37 4.911502549979021e-55
-0.5313283208020052 0.004077349882451897 1.1446958617666798 -3.0113300208297735e-37 -3.011330020829783e-37 4.9444296381339415e-55
