#mu n n_h sigma_xx sigma_yy sigma_xy	#mu          density      sigma1_xx       sigma2_xx       sigma1_xy       sigma2_xy       alpha1_xx       alpha2_xx       alpha1_xy       alpha2_xy       beta1_xx        beta2_xx        beta1_xy        beta2_xy
-4.0 1.0 0.0008970998477239812 3.183564180625354e-42 3.1835641806253556e-42 7.051411224659871e-62	-4.00000000  1.00000000   3.86298820e-05  3.86298820e-05 -1.72123860e-06 -1.72123860e-06  5.20084027e-06  5.20084027e-06 -4.82740039e-07 -4.82740039e-07  1.04868566e-04  1.04868566e-04 -4.98721654e-06 -4.98721654e-06 
-3.979949874686717 1.0 0.0008935442787207844 3.5292229075902944e-42 3.529222907590294e-42 8.70024949264649e-62	-3.98000000  1.00000000   4.28359063e-05  4.28359063e-05 -2.12647482e-06 -2.12647482e-06  6.07476124e-06  6.07476124e-06 -6.28182947e-07 -6.28182947e-07  1.16623771e-04  1.16623771e-04 -6.22018676e-06 -6.22018676e-06 
-3.9598997493734336 1.0 0.0008902539341321746 3.933865768841351e-42 3.933865768841351e-42 1.0849626266521548e-61	-3.96000000  1.00000000   4.77633277e-05  4.77633277e-05 -2.65594443e-06 -2.65594443e-06  7.15567762e-06  7.15567762e-06 -8.29125179e-07 -8.29125179e-07  1.30480001e-04  1.30480001e-04 -7.85562180e-06 -7.85562180e-06 
-3.9398496240601504 1.0 0.0008872557802576194 4.411626625150336e-42 4.411626625150335e-42 1.369109762279952e-61	-3.94000000  1.00000000   5.35863631e-05  5.35863631e-05 -3.35783521e-06 -3.35783521e-06  8.50856167e-06  8.50856167e-06 -1.11184589e-06 -1.11184589e-06  1.46973081e-04  1.46973081e-04 -1.00622968e-05 -1.00622968e-05 
-3.919799498746867 1.0 0.0008845820731238928 4.981107372322808e-42 4.981107372322799e-42 1.7506659278568033e-61	-3.92000000  1.00000000   6.05349172e-05  6.05349172e-05 -4.30349628e-06 -4.30349628e-06  1.02244385e-05  1.02244385e-05 -1.51784766e-06 -1.51784766e-06  1.66822401e-04  1.66822401e-04 -1.30982037e-05 -1.30982037e-05 
-3.899749373433584 0.9999999999999999 0.0008822721284851453 5.667172604951533e-42 5.667172604951524e-42 2.2720606842851553e-61	-3.90000000  1.00000000   6.89172905e-05  6.89172905e-05 -5.60103383e-06 -5.60103383e-06  1.24334225e-05  1.24334225e-05 -2.11454690e-06 -2.11454690e-06  1.91012479e-04  1.91012479e-04 -1.73692871e-05 -1.73692871e-05 
-3.8796992481203008 0.999999999999999 0.0008803749363065342 6.503637907445823e-42 6.503637907445818e-42 2.9987112141825822e-61	-3.88000000  1.00000000   7.91544215e-05  7.91544215e-05 -7.41855963e-06 -7.41855963e-06  1.53257693e-05  1.53257693e-05 -3.01501876e-06 -3.01501876e-06  2.20920496e-04  2.20920496e-04 -2.35360472e-05 -2.35360472e-05 
-3.8596491228070176 0.999999999999993 0.0008789531305700022 7.537394056769398e-42 7.537394056769408e-42 4.034282726509975e-61	-3.86000000  1.00000000   9.18328506e-05  9.18328506e-05 -1.00253335e-05 -1.00253335e-05  1.91869362e-05  1.91869362e-05 -4.41603580e-06 -4.41603580e-06  2.58522239e-04  2.58522239e-04 -3.27162833e-05 -3.27162833e-05 
-3.8395989974937343 0.9999999999999477 0.0008780892011920084 8.834905612953193e-42 8.834905612953201e-42 5.548234369023363e-61	-3.84000000  1.00000000   1.07789016e-04  1.07789016e-04 -1.38674846e-05 -1.38674846e-05  2.44580599e-05  2.44580599e-05 -6.67503013e-06 -6.67503013e-06  3.06737284e-04  3.06737284e-04 -4.68928385e-05 -4.68928385e-05 
-3.819548872180451 0.999999999999612 0.0008778955422450376 1.0492763963223428e-41 1.0492763963223436e-41 7.82756295738256e-61	-3.82000000  1.00000000   1.28247867e-04  1.28247867e-04 -1.97138285e-05 -1.97138285e-05  3.18445538e-05  3.18445538e-05 -1.04750628e-05 -1.04750628e-05  3.70033179e-04  3.70033179e-04 -6.97910835e-05 -6.97910835e-05 
-3.799498746867168 0.9999999999971183 0.000878531316979966 1.2655418742375504e-41 1.2655418742375494e-41 1.1378510070123267e-60	-3.80000000  1.00000000   1.55059462e-04  1.55059462e-04 -2.89519255e-05 -2.89519255e-05  4.25202914e-05  4.25202914e-05 -1.72033981e-05 -1.72033981e-05  4.55537374e-04  4.55537374e-04 -1.08925928e-04 -1.08925928e-04 
-3.7794486215538847 0.9999999999785997 0.000880231963807517 1.5546148973416286e-41 1.5546148973416286e-41 1.713713119046787e-60	-3.78000000  1.00000000   1.91120588e-04  1.91120588e-04 -4.42277996e-05 -4.42277996e-05  5.85319202e-05  5.85319202e-05 -2.98898275e-05 -2.98898275e-05  5.75200452e-04  5.75200452e-04 -1.80795330e-04 -1.80795330e-04 
-3.7593984962406015 0.9999999998410769 0.0008833633078648868 1.9523611008171624e-41 1.9523611008171647e-41 2.6932120096512994e-60	-3.76000000  1.00000000   2.41164240e-04  2.41164240e-04 -7.09329566e-05 -7.09329566e-05  8.36455130e-05  8.36455130e-05 -5.57254290e-05 -5.57254290e-05  7.50247769e-04  7.50247769e-04 -3.25012540e-04 -3.25012540e-04 
-3.7393483709273183 0.9999999988198075 0.0008885262891550677 2.5190453493688965e-41 2.5190453493688945e-41 4.457499429877158e-60	-3.74000000  1.00000000   3.13323459e-04  3.13323459e-04 -1.20963688e-04 -1.20963688e-04  1.25220628e-04  1.25220628e-04 -1.13371210e-04 -1.13371210e-04  1.02081021e-03  1.02081021e-03 -6.45156353e-04 -6.45156353e-04 
